# File: movies_list.txt
# Project: my_TV_Movie
# Version: v1.0.1 (2025-11-09 19:05 EST)
# format: name|tmdb_movie_id

28 Years Later|1100988
40 Acres|1319951
Abyss|1025527
Argylle|848538
Avatar: Fire and Ash|83533
Avengers: Doomsday|1003596
Back in Action|993710
Black Bag|1233575
Bring Her Back|115031
Deep Cover|1239193
Dune: Part Two|693134
Frankenstein|1062722
Freakier Friday|1125257
Good Fortune|1114967
Heads of State|749170
Jumanji 3|1260649
M3GAN 2.0|1071585
Minions 3|1228975
Mission: Impossible – Dead Reckoning Part One|575264
Narnia|1147572
No Time to Die|370172
Nobody 2|1007734
Now You See Me: Now You Don't|425274
Reptile|945729
Scream 7|1159559
Sharper|800158
Sovereign|1130022
Spider-Man: Brand New Day|969681
Supergirl: Woman of Tomorrow|1081003
TRON: Ares|533533
Tenet|577922
The Amateur|1087891
The Black Phone 2|1197137
The Black Phone|756999
The Covenant|840326
The Equalizer 3|926393
The Fall Guy|746036
The Gray Man|744276
The Hunger Games: Sunrise on the Reaping|1300968
The Killer Elite|74643
The Killer|946310
The Mandalorian & Grogu|1228710
The Ministry of Ungentlemanly Warfare|940551
The Naked Gun|1035259
The Old Guard 2|846422
The Roses|1267905
Weapons|1078605
Wicked: For Good|967941
