path,line,heading
docs/AI_AGENT_RULES.md,1,# AI Agent Operational Rules
docs/ARCHITECTURE.md,1,# My TV Hub -- Architecture Contract
docs/ARCHITECTURE.md,3,## Canonical Inputs And Outputs
docs/ARCHITECTURE.md,12,## Runtime Model
docs/ARCHITECTURE.md,20,## UI And Watch State Contract
docs/ARCHITECTURE.md,33,## Detail Schema Contract
docs/ARCHITECTURE.md,42,## Core Pages
docs/ARCHITECTURE.md,58,## Reusable Page Modules
docs/ARCHITECTURE.md,73,## Layout Rules
docs/ARCHITECTURE.md,94,## Pipeline Contract
docs/ARCHITECTURE.md,108,## Version Contract
docs/ARCHITECTURE_LOG.md,1,# Architecture Change Log
docs/ARCHITECTURE_LOG.md,9,## 2026-03-16 --- UI Stabilization Baseline
docs/ARCHITECTURE_LOG.md,28,## 2026-03-17 --- UI Contract Baseline V2
docs/ARCHITECTURE_LOG.md,65,## 2026-03-20 — Overlay v8 stabilization
docs/ARCHITECTURE_LOG.md,71,## 2026-03-20 — Shell/editor/watch-me stabilization
docs/ARCHITECTURE_LOG.md,79,## 2026-03-21 — Shared card/action/focus cleanup
docs/ARCHITECTURE_LOG.md,87,## 2026-03-21 — Availability status end-to-end
docs/ARCHITECTURE_LOG.md,95,## 2026-03-21 — Availability status phase 2 hardening
docs/ARCHITECTURE_LOG.md,102,## 2026-03-21 — Availability metadata hardening and secret drift cleanup
docs/ARCHITECTURE_LOG.md,108,"## 2026-03-22 — Popup, calendar, and shared card cleanup"
docs/ARCHITECTURE_LOG.md,116,## 2026-03-22 — Discover/sidebar/calendar follow-up cleanup
docs/ARCHITECTURE_LOG.md,122,## 2026-04-03 — Calendar/popup/push flow follow-up
docs/ARCHITECTURE_LOG.md,129,## 2026-04-03 — Runtime QA drift cleanup
docs/ARCHITECTURE_LOG.md,135,## 2026-04-03 — Final retirement cleanup
docs/ARCHITECTURE_LOG.md,140,## 2026-04-03 — Dead runtime path cleanup
docs/ARCHITECTURE_LOG.md,147,## 2026-03-22 — Calendar/header/dashboard episode-card normalization
docs/ARCHITECTURE_LOG.md,156,## 2026-03-23 — TV focus and shared card hardening
docs/ARCHITECTURE_LOG.md,165,## 2026-03-29 — Restored production data-build workflow
docs/ARCHITECTURE_LOG.md,173,## 2026-04-03 — Inputs editor local launch clarification
docs/ARCHITECTURE_LOG.md,179,"## 2026-04-03 — Inputs editor duplicate, season, and GitHub sync restoration"
docs/ARCHITECTURE_LOG.md,185,## 2026-04-04 — Canonical pipeline and TV-first watch-source hardening
docs/ARCHITECTURE_LOG.md,192,## 2026-04-05 — Split runtime activation and HP static deployment
docs/ARCHITECTURE_LOG.md,200,"## 2026-04-10 — Responsive card, popup, and asset hardening"
docs/ARCHITECTURE_LOG.md,209,## 2026-04-11 — Reusable watch-party page module
docs/ARCHITECTURE_LOG.md,216,## 2026-04-11 — Heated Rivalry in-page help overlays
docs/ARCHITECTURE_LOG.md,222,## 2026-04-11 — Watch-party host/join workflow correction
docs/ARCHITECTURE_LOG.md,229,## 2026-04-11 — Local watch-party player prototype
docs/ARCHITECTURE_LOG.md,236,## 2026-04-11 — Watch-party page-owned episode sources
docs/ARCHITECTURE_LOG.md,242,## 2026-04-11 — Watch-party episode selection clarity
docs/ARCHITECTURE_LOG.md,248,## 2026-04-11 — Watch-party room-server preflight
docs/DOCS_CLEANUP_PHASE2_PLAN_2026-03-21.md,1,# Docs Cleanup Phase 2 Plan — 2026-03-21
docs/DOCS_CLEANUP_PHASE2_PLAN_2026-03-21.md,3,## Scope
docs/DOCS_CLEANUP_PHASE2_PLAN_2026-03-21.md,6,## Actions
