path,relative_path,status,action,container,video_codec,audio_codec,duration,size_mb,reason,repaired_path,backup_path,error
C:\X1_Share\Recordings\Movies\Now You See Me - Now You Don't (2025) [425274]\Now You See Me - Now You Don't (2025).mp4,Movies/Now You See Me - Now You Don't (2025) [425274]/Now You See Me - Now You Don't (2025).mp4,ok,none,mpegts,h264,aac,49.0,22.2,ffprobe passed and file is TV-safe enough,,,
C:\X1_Share\Recordings\Movies\The Devil Wears Prada 2 (2026) [1314481]\The Devil Wears Prada 2 (2026).mp4,Movies/The Devil Wears Prada 2 (2026) [1314481]/The Devil Wears Prada 2 (2026).mp4,ok,none,mpegts,h264,aac,6729.166666,2142.2,ffprobe passed and file is TV-safe enough,,,
C:\X1_Share\Recordings\TV\Abbott Elementary [125935]\Season 05\Abbott Elementary - S05E14 - Aide.mp4,TV/Abbott Elementary [125935]/Season 05/Abbott Elementary - S05E14 - Aide.mp4,repaired,repaired,png_pipe,png,,0.0,219.1,missing/zero duration; video codec png may not be TV-safe,C:\X1_Share\Recordings\TV\Abbott Elementary [125935]\Season 05\Abbott Elementary - S05E14 - Aide.mp4,C:\X1_Share\Recordings\_MediaRenamer_Originals\20260511_231006\TV\Abbott Elementary [125935]\Season 05\Abbott Elementary - S05E14 - Aide.mp4,
C:\X1_Share\Recordings\TV\Abbott Elementary [125935]\Season 05\Abbott Elementary - S05E15 - Safety Day.mp4,TV/Abbott Elementary [125935]/Season 05/Abbott Elementary - S05E15 - Safety Day.mp4,repaired,repaired,png_pipe,png,,0.0,193.2,missing/zero duration; video codec png may not be TV-safe,C:\X1_Share\Recordings\TV\Abbott Elementary [125935]\Season 05\Abbott Elementary - S05E15 - Safety Day.mp4,C:\X1_Share\Recordings\_MediaRenamer_Originals\20260511_231006\TV\Abbott Elementary [125935]\Season 05\Abbott Elementary - S05E15 - Safety Day.mp4,
C:\X1_Share\Recordings\TV\Abbott Elementary [125935]\Season 05\Abbott Elementary - S05E17 - No Homework.mp4,TV/Abbott Elementary [125935]/Season 05/Abbott Elementary - S05E17 - No Homework.mp4,ok,none,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,1293.3754,356.8,ffprobe passed and file is TV-safe enough,,,
C:\X1_Share\Recordings\TV\Allegiance [240936]\Season 01\Allegiance - S01E06 - Safe Harbours.mp4,TV/Allegiance [240936]/Season 01/Allegiance - S01E06 - Safe Harbours.mp4,repaired,repaired,png_pipe,png,,0.0,245.1,missing/zero duration; video codec png may not be TV-safe,C:\X1_Share\Recordings\TV\Allegiance [240936]\Season 01\Allegiance - S01E06 - Safe Harbours.mp4,C:\X1_Share\Recordings\_MediaRenamer_Originals\20260511_231006\TV\Allegiance [240936]\Season 01\Allegiance - S01E06 - Safe Harbours.mp4,
C:\X1_Share\Recordings\TV\Allegiance [240936]\Season 03\Allegiance - S03E08 - Runaway Train.mp4,TV/Allegiance [240936]/Season 03/Allegiance - S03E08 - Runaway Train.mp4,ok,none,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,2627.059229,464.8,ffprobe passed and file is TV-safe enough,,,
C:\X1_Share\Recordings\TV\Best Medicine [291084]\Season 01\Best Medicine - S01E11 - Mind Your Own Buboes.mp4,TV/Best Medicine [291084]/Season 01/Best Medicine - S01E11 - Mind Your Own Buboes.mp4,ok,none,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,2609.086984,528.8,ffprobe passed and file is TV-safe enough,,,
C:\X1_Share\Recordings\TV\Canada's Drag Race [94038]\Season 02\Canada's Drag Race - S02E01 - Episode 01.ts,TV/Canada's Drag Race [94038]/Season 02/Canada's Drag Race - S02E01 - Episode 01.ts,repaired,repaired,mpegts,h264,aac,4515.476267,1145.2,not mp4 container,C:\X1_Share\Recordings\TV\Canada's Drag Race [94038]\Season 02\Canada's Drag Race - S02E01 - Episode 01.mp4,C:\X1_Share\Recordings\_MediaRenamer_Originals\20260511_231006\TV\Canada's Drag Race [94038]\Season 02\Canada's Drag Race - S02E01 - Episode 01.ts,
C:\X1_Share\Recordings\TV\Canada's Drag Race [94038]\Season 02\Canada's Drag Race - S02E05 - Episode 05.mp4,TV/Canada's Drag Race [94038]/Season 02/Canada's Drag Race - S02E05 - Episode 05.mp4,ok,none,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,3561.861179,840.1,ffprobe passed and file is TV-safe enough,,,
