service_id,service_name,source_url_used,png_file,svg_file,png_path,svg_path,status,timestamp
netflix,Netflix,https://cdn.simpleicons.org/netflix,,netflix.svg,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\netflix.png,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\netflix.svg,PARTIAL,2025-11-08 00:05:13
prime_video,Prime Video,,,,,,FAILED,2025-11-08 00:05:14
disney_plus,Disney+,,,,,,FAILED,2025-11-08 00:05:14
apple_tv_plus,Apple TV+,https://cdn.simpleicons.org/appletv,,apple_tv_plus.svg,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\apple_tv_plus.png,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\apple_tv_plus.svg,PARTIAL,2025-11-08 00:05:14
paramount_plus,Paramount+,https://cdn.simpleicons.org/paramountplus,,paramount_plus.svg,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\paramount_plus.png,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\paramount_plus.svg,PARTIAL,2025-11-08 00:05:15
tmdb,TMDB,https://cdn.simpleicons.org/themoviedatabase,,tmdb.svg,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\tmdb.png,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\tmdb.svg,PARTIAL,2025-11-08 00:05:15
imdb,IMDb,https://cdn.simpleicons.org/imdb,,imdb.svg,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\imdb.png,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\imdb.svg,PARTIAL,2025-11-08 00:05:15
trakt,Trakt,https://cdn.simpleicons.org/trakt,,trakt.svg,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\trakt.png,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\trakt.svg,PARTIAL,2025-11-08 00:05:16
crave,Crave,,,,,,FAILED,2025-11-08 00:05:16
cbc_gem,CBC Gem,https://cdn.simpleicons.org/cbc,,cbc_gem.svg,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\cbc_gem.png,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\cbc_gem.svg,PARTIAL,2025-11-08 00:05:16
ctv,CTV,,,,,,FAILED,2025-11-08 00:05:17
global_tv,Global TV,,,,,,FAILED,2025-11-08 00:05:17
tsn,TSN,,,,,,FAILED,2025-11-08 00:05:17
tvmaze,TVmaze,,,,,,FAILED,2025-11-08 00:05:17
omdb,OMDb,,,,,,FAILED,2025-11-08 00:05:17
