service_id,channel_name,matched_display_name,source_url,png_file,svg_file,png_path,svg_path,status,timestamp
abc,ABC,,,,,,,NOT_FOUND_IN_MOSAIC,2025-11-08 00:46:38
cbs,CBS,,,,,,,NOT_FOUND_IN_MOSAIC,2025-11-08 00:46:38
nbc,NBC,,,,,,,NOT_FOUND_IN_MOSAIC,2025-11-08 00:46:38
fox,Fox,,,,,,,NOT_FOUND_IN_MOSAIC,2025-11-08 00:46:38
cw,CW,,,,,,,NOT_FOUND_IN_MOSAIC,2025-11-08 00:46:38
pbs,PBS,,,,,,,NOT_FOUND_IN_MOSAIC,2025-11-08 00:46:38
ion,Ion,,,,,,,NOT_FOUND_IN_MOSAIC,2025-11-08 00:46:38
amc,AMC,,,,,,,NOT_FOUND_IN_MOSAIC,2025-11-08 00:46:38
tnt,TNT,,,,,,,NOT_FOUND_IN_MOSAIC,2025-11-08 00:46:38
tbs,TBS,,,,,,,NOT_FOUND_IN_MOSAIC,2025-11-08 00:46:38
usa,USA Network,,,,,,,NOT_FOUND_IN_MOSAIC,2025-11-08 00:46:38
fx,FX,,,,,,,NOT_FOUND_IN_MOSAIC,2025-11-08 00:46:38
fxx,FXX,,,,,,,NOT_FOUND_IN_MOSAIC,2025-11-08 00:46:38
syfy,Syfy,,,,,,,NOT_FOUND_IN_MOSAIC,2025-11-08 00:46:38
bravo,Bravo,,,,,,,NOT_FOUND_IN_MOSAIC,2025-11-08 00:46:38
e,E!,,,,,,,NOT_FOUND_IN_MOSAIC,2025-11-08 00:46:38
lifetime,Lifetime,,,,,,,NOT_FOUND_IN_MOSAIC,2025-11-08 00:46:38
ae,A&E,,,,,,,NOT_FOUND_IN_MOSAIC,2025-11-08 00:46:38
discovery,Discovery Channel,,,,,,,NOT_FOUND_IN_MOSAIC,2025-11-08 00:46:38
tlc,TLC,,,,,,,NOT_FOUND_IN_MOSAIC,2025-11-08 00:46:38
history,History,,,,,,,NOT_FOUND_IN_MOSAIC,2025-11-08 00:46:38
food_network,Food Network,,,,,,,NOT_FOUND_IN_MOSAIC,2025-11-08 00:46:38
hgtv,HGTV,,,,,,,NOT_FOUND_IN_MOSAIC,2025-11-08 00:46:38
animal_planet,Animal Planet,,,,,,,NOT_FOUND_IN_MOSAIC,2025-11-08 00:46:38
natgeo,National Geographic,,,,,,,NOT_FOUND_IN_MOSAIC,2025-11-08 00:46:38
mtv,MTV,,,,,,,NOT_FOUND_IN_MOSAIC,2025-11-08 00:46:38
