component_family,variant_id,page_file,render_file,render_function,element_name,element_selector_or_hook,purpose,required_or_optional,data_fields_used,actions_supported,appears_in_other_variants,other_variant_ids,appears_in_other_pages,other_page_files,baseline_candidate,keep_shared_or_local,related_mockup_target,notes
show_popup,SHOW_POPUP_APP_V1,web/index.html,web/index.html,buildShowPopupHtml,title block,.showtitle,primary title and popup identity,required,show.title|show.name|show.tmdb_id,none,yes,SHOW_POPUP_APP_V2|WATCHME_DETAIL_SHOW_V1,yes,web/discover.html|web/watch.me.html,yes,shared,mockup_show_popup.html,Same concept appears as page header in watch.me
show_popup,SHOW_POPUP_APP_V1,web/index.html,web/index.html,buildShowPopupHtml,poster,.poster,primary visual anchor,required,poster_local|poster_path,none,yes,SHOW_POPUP_APP_V2|WATCHME_DETAIL_SHOW_V1,yes,web/discover.html|web/watch.me.html,yes,shared,mockup_show_popup.html,Calendar/index variant uses posterFallback when missing
show_popup,SHOW_POPUP_APP_V1,web/index.html,web/index.html,buildShowPopupHtml,backdrop,.showback,hero atmosphere and visual context,optional,backdrop_local|backdrop_path,none,yes,SHOW_POPUP_APP_V2|WATCHME_DETAIL_SHOW_V1,yes,web/discover.html|web/watch.me.html,yes,hybrid,mockup_show_popup.html,watch.me uses page backdrop not modal shell
show_popup,SHOW_POPUP_APP_V1,web/index.html,web/index.html,buildShowPopupHtml,genre/tag chip group,.pills .pill,compact fact strip,required,genres[]|vote_average|vote_count|networks[]|first_air_date|last_air_date,none,yes,SHOW_POPUP_APP_V2|WATCHME_DETAIL_SHOW_V1,yes,web/discover.html|web/watch.me.html,yes,shared,mockup_show_popup.html,Same concept has different DOM in watch.me via buildPills/renderPillRow
show_popup,SHOW_POPUP_APP_V1,web/index.html,web/index.html,buildShowPopupHtml,network/studio/platform block,.showbadges|.netlogo,status and network identity,optional,status|networks[]|logo_path,none,yes,SHOW_POPUP_APP_V2,yes,web/discover.html,yes,hybrid,mockup_show_popup.html,Network logo row absent in watch.me detail
show_popup,SHOW_POPUP_APP_V1,web/index.html,web/index.html,buildShowPopupHtml,metadata strip,.showmeta,richer fact list under title,required,status|network|genres|vote_average|vote_count|first_air_date|last_air_date|tmdb_id,none,yes,SHOW_POPUP_APP_V2|WATCHME_DETAIL_SHOW_V1,yes,web/discover.html|web/watch.me.html,yes,shared,mockup_show_popup.html,Same concept called pill row + info card metadata in watch.me
show_popup,SHOW_POPUP_APP_V1,web/index.html,web/index.html,buildShowPopupHtml,description/overview,.overview,long-form synopsis,required,overview,none,yes,SHOW_POPUP_APP_V2|WATCHME_DETAIL_SHOW_V1,yes,web/discover.html|web/watch.me.html,yes,shared,mockup_show_popup.html,None
show_popup,SHOW_POPUP_APP_V1,web/index.html,web/index.html,buildShowPopupHtml,provider/watch button group,.showactions|[data-where-watch],watch/provider and RT actions,optional,links|production_companies,where-to-watch|RT,yes,SHOW_POPUP_APP_V2|WATCHME_DETAIL_SHOW_V1,yes,web/discover.html|web/watch.me.html,yes,shared,mockup_show_popup.html,watch.me separates TMDB and stream buttons outside popup band
show_popup,SHOW_POPUP_APP_V1,web/index.html,web/index.html,buildShowPopupHtml,toggle/watch-state controls,.showwatch,watch-state band container,optional,watch_state|watchlist,watch-status choices only,yes,SHOW_POPUP_APP_V2,yes,web/discover.html,yes,hybrid,mockup_show_popup.html,V1 renders band but leaves show/season/episode toggles blank
show_popup,SHOW_POPUP_APP_V1,web/index.html,web/index.html,buildShowPopupHtml,season list container,.seasonpicker|.seasonlist,season navigation,required,seasons[]|season_number|name,season switch,yes,SHOW_POPUP_APP_V2|WATCHME_DETAIL_SHOW_V1,yes,web/discover.html|web/watch.me.html,yes,shared,mockup_show_popup.html,watch.me uses radio list instead of seasonopt blocks
show_popup,SHOW_POPUP_APP_V1,web/index.html,web/index.html,buildShowPopupHtml,season detail panel,.seasondetails|.seasonmeta,selected season summary,required,selected season name|overview|air_date|episode count,none,yes,SHOW_POPUP_APP_V2|WATCHME_DETAIL_SHOW_V1,yes,web/discover.html|web/watch.me.html,yes,shared,mockup_show_popup.html,None
show_popup,SHOW_POPUP_APP_V1,web/index.html,web/index.html,buildShowPopupHtml,episode list container,.episodeswrap|.carousel,episode rail host,required,episodes[],carousel nav,yes,SHOW_POPUP_APP_V2|WATCHME_DETAIL_SHOW_V1,yes,web/discover.html|web/watch.me.html,yes,shared,mockup_show_popup.html,watch.me uses episodesScroller instead of carousel
show_popup,SHOW_POPUP_APP_V1,web/index.html,web/index.html,openModal|closeModal,close button,#modalClose,close popup and restore focus,required,none,close,yes,MOVIE_POPUP_APP_V1|MOVIE_POPUP_APP_V2|SHOW_POPUP_APP_V2,yes,web/index.html|web/discover.html|web/calendar.html|web/shows.html,yes,shared,mockup_show_popup.html,Control exists in modal shell not popup markup
show_popup,SHOW_POPUP_APP_V2,web/discover.html,web/discover.html,buildShowPopupHtml,title block,.showtitle,primary title and popup identity,required,show.title|show.name|show.tmdb_id,none,yes,SHOW_POPUP_APP_V1|WATCHME_DETAIL_SHOW_V1,yes,web/index.html|web/watch.me.html,yes,shared,mockup_show_popup.html,None
show_popup,SHOW_POPUP_APP_V2,web/discover.html,web/discover.html,buildShowPopupHtml,toggle/watch-state controls,.showwatch|.popupwatch|.switch.show|.switch.season|.switch.episode,watch-state status and toggles,optional,watch_state|watchlist|season_number|episode_number,toggle show|toggle season|toggle episode|watchlist status,yes,SHOW_POPUP_APP_V1|WATCHME_CAROUSEL_EPISODE_V1,yes,web/index.html|web/watch_me/watch_me.html,yes,hybrid,mockup_show_popup.html,Same concept has very different compact implementation in watch_me
show_popup,SHOW_POPUP_APP_V2,web/discover.html,web/discover.html,buildShowPopupHtml,badges/status chips,.showbadges|.statuspill,status and network chips,optional,status|network_name,none,yes,SHOW_POPUP_APP_V1|WATCHME_DETAIL_SHOW_V1,yes,web/index.html|web/watch.me.html,yes,hybrid,mockup_show_popup.html,watch.me uses eyebrow plus pills instead of statuspill row
show_popup,SHOW_POPUP_APP_V2,web/discover.html,web/discover.html,buildShowPopupHtml,season/episode counters,.seasonair|.badge,count and S/E identity,required,episodes.length|season_number|episode_number,none,yes,SHOW_POPUP_APP_V1|WATCHME_DETAIL_EPISODE_V1|TREE_EPISODE_ROW_V1,yes,web/index.html|web/watch.me.html|web/tv_shows_listing.html,yes,shared,mockup_show_popup.html,Same concept named badge in episode rows/cards
movie_popup,MOVIE_POPUP_APP_V1,web/shows.html,web/shows.html,openMovieModal,title block,inline movie title div,primary title,required,movie.title|tmdb_id,none,yes,MOVIE_POPUP_APP_V2|WATCHME_DETAIL_MOVIE_V1,yes,web/discover.html|web/watch.me.html,yes,shared,mockup_movie_popup.html,Selector is inline-only in V1 markup
movie_popup,MOVIE_POPUP_APP_V1,web/shows.html,web/shows.html,openMovieModal,poster,inline poster wrapper,primary visual anchor,required,poster_local|poster_path,none,yes,MOVIE_POPUP_APP_V2|WATCHME_DETAIL_MOVIE_V1,yes,web/discover.html|web/watch.me.html,yes,shared,mockup_movie_popup.html,None
movie_popup,MOVIE_POPUP_APP_V1,web/shows.html,web/shows.html,openMovieModal,description/overview,inline overview div,summary copy,required,overview,none,yes,MOVIE_POPUP_APP_V2|WATCHME_DETAIL_MOVIE_V1,yes,web/discover.html|web/watch.me.html,yes,shared,mockup_movie_popup.html,None
movie_popup,MOVIE_POPUP_APP_V1,web/shows.html,web/shows.html,openMovieModal,provider/watch button group,linkOrDisabled buttons|[data-where-watch],streaming and external links,required,links|rt link,provider modal|RT|streaming links,yes,MOVIE_POPUP_APP_V2|WATCHME_DETAIL_MOVIE_V1,yes,web/discover.html|web/watch.me.html,yes,shared,mockup_movie_popup.html,None
movie_popup,MOVIE_POPUP_APP_V1,web/shows.html,web/shows.html,openMovieModal,production block,.metablock|.metachips,studio/company chips,optional,production_companies,none,yes,MOVIE_POPUP_APP_V2,yes,web/discover.html|web/calendar.html,yes,hybrid,mockup_movie_popup.html,watch.me movie detail omits this
movie_popup,MOVIE_POPUP_APP_V1,web/shows.html,web/shows.html,openMovieModal,backdrop,inline backdrop block,secondary atmosphere image,optional,backdrop_local|backdrop_path,none,yes,MOVIE_POPUP_APP_V2|WATCHME_DETAIL_MOVIE_V1,yes,web/discover.html|web/watch.me.html,yes,hybrid,mockup_movie_popup.html,None
movie_popup,MOVIE_POPUP_APP_V2,web/discover.html,web/discover.html,openMovieModal,title block,inline movie title div,primary title,required,movie.title|tmdb_id,none,yes,MOVIE_POPUP_APP_V1|WATCHME_DETAIL_MOVIE_V1,yes,web/shows.html|web/watch.me.html,yes,shared,mockup_movie_popup.html,None
movie_popup,MOVIE_POPUP_APP_V2,web/discover.html,web/discover.html,openMovieModal,toggle/watch-state controls,.popupwatch|.switch.movie,watch status and movie watched toggle,optional,watch_state|watchlist,toggle movie|watchlist status,yes,MOVIE_POPUP_APP_V1|WATCHME_CAROUSEL_MOVIE_V1,yes,web/shows.html|web/watch_me/watch_me.html,yes,hybrid,mockup_movie_popup.html,Compact variant in watch_me uses button role=switch
movie_popup,MOVIE_POPUP_APP_V2,web/discover.html,web/discover.html,openMovieModal,backdrop,inline backdrop block,secondary atmosphere image,optional,backdrop_local|backdrop_path,none,yes,MOVIE_POPUP_APP_V1|WATCHME_DETAIL_MOVIE_V1,yes,web/shows.html|web/watch.me.html,yes,hybrid,mockup_movie_popup.html,None
movie_popup,MOVIE_POPUP_APP_V2,web/discover.html,web/discover.html,wireMoviePopup,deep-link/provider-link logic,[data-where-watch]|renderWatchProvidersHtml|buildMediaLinks,open provider modal and streaming destinations,required,links|watch providers,provider modal|streaming links,yes,MOVIE_POPUP_APP_V1|MOVIE_CARD_APP_V2|TREE_MOVIE_CARD_V1,yes,web/shows.html|web/discover.html|web/tv_shows_listing.html,yes,shared,mockup_movie_popup.html,Same concept appears as inline action stack or pillbar elsewhere
show_card,SHOW_CARD_APP_V1,web/index.html,web/index.html,showCardHtml,title block,.cardtitle,identify show card,required,title|name,none,yes,SHOW_CARD_DISCOVER_V2|TREE_SHOW_CARD_V1,yes,web/discover.html|web/tv_shows_listing.html,yes,shared,mockup_show_card.html,Tree show card merges title with metadata line
show_card,SHOW_CARD_APP_V1,web/index.html,web/index.html,showCardHtml,poster,.imgbox,open card and present poster,required,poster_local|poster_path,open show,yes,SHOW_CARD_DISCOVER_V2|TREE_SHOW_CARD_V1,yes,web/discover.html|web/tv_shows_listing.html,yes,shared,mockup_show_card.html,Same concept but utility view uses thumbnail instead of poster block
show_card,SHOW_CARD_APP_V1,web/index.html,web/index.html,showCardHtml,metadata strip,.cardmeta,since/last-air summary,required,first_air_date|last_air_date,none,yes,SHOW_CARD_DISCOVER_V2|TREE_SHOW_CARD_V1,yes,web/discover.html|web/tv_shows_listing.html,yes,shared,mockup_show_card.html,Metadata semantics differ but purpose is stable
show_card,SHOW_CARD_APP_V1,web/index.html,web/index.html,showCardHtml,footer action bar,buildIconStripHtml icon strip,secondary watch/list/info actions,optional,tmdb_id|title|progress|watch state,icon strip actions,yes,SHOW_CARD_DISCOVER_V2|MOVIE_CARD_APP_V1,yes,web/discover.html|web/index.html,yes,shared,mockup_show_card.html,Function-level reuse is stronger than selector reuse
show_card,SHOW_CARD_DISCOVER_V2,web/discover.html,web/discover.html,showCardHtml,title block,.cardtitle,identify show card,required,title|name,none,yes,SHOW_CARD_APP_V1|TREE_SHOW_CARD_V1,yes,web/index.html|web/tv_shows_listing.html,yes,shared,mockup_show_card.html,None
show_card,SHOW_CARD_DISCOVER_V2,web/discover.html,web/discover.html,showCardHtml,toggle/watch-state controls,.cardtoggle|.switch.show,inline watched toggle,optional,watch_state,toggle show watched,yes,SHOW_CARD_APP_V1|WATCHME_CAROUSEL_EPISODE_V1,yes,web/index.html|web/watch_me/watch_me.html,yes,hybrid,mockup_show_card.html,Main app V1 lacks inline toggle but still has icon strip actions
show_card,SHOW_CARD_DISCOVER_V2,web/discover.html,web/discover.html,showCardHtml,footer action bar,.actionbar[data-action-host='1']|actionMenuHtml,long-press/list/history/date/details row,optional,tmdb_id|title|watch state,action menu|open details,yes,SHOW_CARD_APP_V1|CAL_EPISODE_CARD_V1,yes,web/index.html|web/calendar.html,yes,hybrid,mockup_show_card.html,Same concept appears as denser episode action row in calendar
show_card,TREE_SHOW_CARD_V1,web/tv_shows_listing.html,web/tv_shows_listing.html,buildShowCard,title block,.primary.line1,utility title + year/tmdb/genres line,required,title|year|tmdb|genres,none,yes,SHOW_CARD_APP_V1|SHOW_CARD_DISCOVER_V2,yes,web/index.html|web/discover.html,yes,hybrid,mockup_show_card.html,Same concept but combined with metadata instead of separate block
show_card,TREE_SHOW_CARD_V1,web/tv_shows_listing.html,web/tv_shows_listing.html,buildShowCard,provider/watch button group,.pillbar,show-level provider links,optional,show.links,provider links,yes,MOVIE_CARD_APP_V2|TREE_MOVIE_CARD_V1,yes,web/shows.html|web/tv_shows_listing.html,yes,hybrid,mockup_show_card.html,Useful source for explicit direct-link row
show_card,TREE_SHOW_CARD_V1,web/tv_shows_listing.html,web/tv_shows_listing.html,buildShowCard,episode list container,.children,expandable child seasons host,optional,seasons[],expand/collapse,yes,TREE_SEASON_CARD_V1,yes,web/tv_shows_listing.html,no,local,mockup_show_card.html,Keep page-specific utility behavior
movie_card,MOVIE_CARD_APP_V1,web/index.html,web/index.html,movieCardHtml,title block,.cardtitle,identify movie card,required,title,none,yes,MOVIE_CARD_APP_V2|WATCHME_CAROUSEL_MOVIE_V1,yes,web/shows.html|web/watch_me/watch_me.html,yes,shared,mockup_movie_card.html,None
movie_card,MOVIE_CARD_APP_V1,web/index.html,web/index.html,movieCardHtml,poster,.imgbox,open card and present poster,required,poster_local|poster_path,open movie,yes,MOVIE_CARD_APP_V2|WATCHME_CAROUSEL_MOVIE_V1|CAL_MOVIE_CARD_V1,yes,web/shows.html|web/watch_me/watch_me.html|web/calendar.html,yes,shared,mockup_movie_card.html,Calendar compact card uses thumb instead of full poster
movie_card,MOVIE_CARD_APP_V1,web/index.html,web/index.html,movieCardHtml,metadata strip,.cardmeta,release/runtime/genre summary,required,release_date|runtime|genres,none,yes,MOVIE_CARD_APP_V2|TREE_MOVIE_CARD_V1,yes,web/shows.html|web/tv_shows_listing.html,yes,shared,mockup_movie_card.html,None
movie_card,MOVIE_CARD_APP_V1,web/index.html,web/index.html,movieCardHtml,footer action bar,buildIconStripHtml icon strip,secondary actions,optional,tmdb_id|title|progress|watch state,icon strip actions,yes,MOVIE_CARD_APP_V2|SHOW_CARD_APP_V1,yes,web/shows.html|web/index.html,yes,shared,mockup_movie_card.html,None
movie_card,MOVIE_CARD_APP_V2,web/shows.html,web/shows.html,movieCardHtml,provider/watch button group,.actionstack|.iconbtn.vidsrc|.iconbtn.videasy,direct provider launch on card,optional,links.vidsrc|links.videasy,provider links,yes,MOVIE_POPUP_APP_V2|TREE_MOVIE_CARD_V1|WATCHME_CAROUSEL_MOVIE_V1,yes,web/discover.html|web/tv_shows_listing.html|web/watch_me/watch_me.html,yes,hybrid,mockup_movie_card.html,Same concept rendered as buttons, anchors, or pillbar
movie_card,CAL_MOVIE_CARD_V1,web/calendar.html,web/calendar.html,renderCalendar,title block,.chip .title|button text,compact movie identity,required,title|tmdb_id,open movie modal,yes,MOVIE_CARD_APP_V1|MOVIE_CARD_APP_V2,yes,web/index.html|web/shows.html,yes,hybrid,mockup_movie_card.html,Compact chip contract differs from full card
movie_card,WATCHME_CAROUSEL_MOVIE_V1,web/watch_me/watch_me.html,web/watch_me/watch_me.html,movieCard,title block,.ov .n,overlay title in compact card,required,title,enter key opens primary link,yes,MOVIE_CARD_APP_V1|MOVIE_CARD_APP_V2,yes,web/index.html|web/shows.html,yes,hybrid,mockup_movie_card.html,Same concept named overlay not header
episode_card,EPISODE_CARD_POPUP_V1,web/index.html,web/index.html,buildShowPopupHtml,episode item/card/row,.epcard,detail episode card shell,required,episode fields|links,provider links,yes,EPISODE_CARD_POPUP_V2|WATCHME_DETAIL_EPISODE_V1|CAL_EPISODE_CARD_V1,yes,web/discover.html|web/watch.me.html|web/calendar.html,yes,shared,mockup_episode_card.html,None
episode_card,EPISODE_CARD_POPUP_V1,web/index.html,web/index.html,buildShowPopupHtml,empty/fallback image logic,.epimg img|empty string,episode still fallback behavior,optional,still_local|still_path,none,yes,EPISODE_CARD_POPUP_V2|TREE_EPISODE_ROW_V1,yes,web/discover.html|web/tv_shows_listing.html,yes,shared,mockup_episode_card.html,Concept is shared even when selector differs
episode_card,EPISODE_CARD_POPUP_V1,web/index.html,web/index.html,buildShowPopupHtml,episode action row,.epactions,provider deep-links,required,links.vidsrc|links.videasy,provider links,yes,EPISODE_CARD_POPUP_V2|WATCHME_DETAIL_EPISODE_V1|TREE_EPISODE_ROW_V1,yes,web/discover.html|web/watch.me.html|web/tv_shows_listing.html,yes,shared,mockup_episode_card.html,None
episode_card,EPISODE_CARD_POPUP_V2,web/discover.html,web/discover.html,buildShowPopupHtml,toggle/watch-state controls,.switch.episode,inline episode watched toggle,optional,watch_state|show.tmdb_id|season_number|episode_number,toggle episode watched,yes,EPISODE_CARD_POPUP_V1|CAL_EPISODE_CARD_V1|WATCHME_CAROUSEL_EPISODE_V1,yes,web/index.html|web/calendar.html|web/watch_me/watch_me.html,yes,hybrid,mockup_episode_card.html,Same concept rendered as label switch, blank stub, or button role=switch
episode_card,EPISODE_CARD_POPUP_V2,web/discover.html,web/discover.html,buildShowPopupHtml,metadata strip,.epmeta,air date and runtime,required,air_date|runtime,none,yes,EPISODE_CARD_POPUP_V1|WATCHME_DETAIL_EPISODE_V1|TREE_EPISODE_ROW_V1,yes,web/index.html|web/watch.me.html|web/tv_shows_listing.html,yes,shared,mockup_episode_card.html,None
